Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary
1,HS,1438,2:56.620.617,1.883 us,64 B,,03,02,   OUT txn,12 33 FF FF FF FF FF FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,1439,2:56.620.617,66 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,1440,2:56.620.618,1.150 us,67 B,,03,02,      DATA1 packet,4B 12 33 FF FF FF FF FF FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 AE A7,
2,HS,1441,2:56.620.619,33 ns,1 B,,03,02,      ACK packet,D2,
0,HS,1442,2:56.620.491,255.150 us,64 B,K,03,04,Input Report,12 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,1443,2:56.620.491,255.150 us,64 B,,03,04,   IN txn   [2 POLL],12 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,1444,2:56.620.491,125.400 us,,,03,04,      [2 IN-NAK],,
2,HS,1445,2:56.620.745,66 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,1446,2:56.620.745,1.133 us,67 B,,03,04,      DATA1 packet,4B 12 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3A 7D,
2,HS,1447,2:56.620.746,33 ns,1 B,,03,04,      ACK packet,D2,
0,HS,1448,2:56.620.992,1.866 us,64 B,K,03,02,Output Report,12 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,1449,2:56.620.992,1.866 us,64 B,,03,02,   OUT txn,12 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,1450,2:56.620.992,66 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,1451,2:56.620.993,1.133 us,67 B,,03,02,      DATA0 packet,C3 12 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 33 BF,
2,HS,1452,2:56.620.994,50 ns,1 B,,03,02,      ACK packet,D2,
0,HS,1453,2:56.620.866,251.900 us,64 B,K,03,04,Input Report,12 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,1454,2:56.620.866,251.900 us,64 B,,03,04,   IN txn   [2 POLL],12 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,1455,2:56.620.866,125.400 us,,,03,04,      [2 IN-NAK],,
2,HS,1456,2:56.621.116,83 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,1457,2:56.621.117,1.150 us,67 B,,03,04,      DATA0 packet,C3 12 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3A 7D,
2,HS,1458,2:56.621.118,50 ns,1 B,,03,04,      ACK packet,D2,
0,HS,1459,2:56.621.367,1.883 us,64 B,K,03,02,Output Report,05 00 01 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,1460,2:56.621.367,1.883 us,64 B,,03,02,   OUT txn,05 00 01 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,1461,2:56.621.367,83 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,1462,2:56.621.368,1.150 us,67 B,,03,02,      DATA1 packet,4B 05 00 01 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 87 63,
2,HS,1463,2:56.621.369,33 ns,1 B,,03,02,      ACK packet,D2,
0,HS,1464,2:56.621.241,251.933 us,64 B,K,03,04,Input Report,05 01 01 77 24 A0 5B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,1465,2:56.621.241,251.933 us,64 B,,03,04,   IN txn   [2 POLL],05 01 01 77 24 A0 5B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,1466,2:56.621.241,125.416 us,,,03,04,      [2 IN-NAK],,
2,HS,1467,2:56.621.491,83 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,1468,2:56.621.492,1.133 us,67 B,,03,04,      DATA1 packet,4B 05 01 01 77 24 A0 5B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 45 8D,
2,HS,1469,2:56.621.493,50 ns,1 B,,03,04,      ACK packet,D2,
0,HS,1470,2:56.621.742,1.883 us,64 B,K,03,02,Output Report,04 00 64 00 00 00 5B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,1471,2:56.621.742,1.883 us,64 B,,03,02,   OUT txn,04 00 64 00 00 00 5B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,1472,2:56.621.742,83 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,1473,2:56.621.743,1.150 us,67 B,,03,02,      DATA0 packet,C3 04 00 64 00 00 00 5B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7C 47,
2,HS,1474,2:56.621.744,50 ns,1 B,,03,02,      ACK packet,D2,
0,HS,1475,2:56.621.616,251.916 us,64 B,K,03,04,Input Report,04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,1476,2:56.621.616,251.916 us,64 B,,03,04,   IN txn   [2 POLL],04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,1477,2:56.621.616,125.400 us,,,03,04,      [2 IN-NAK],,
2,HS,1478,2:56.621.866,83 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,1479,2:56.621.867,1.150 us,67 B,,03,04,      DATA0 packet,C3 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BE D3,
2,HS,1480,2:56.621.868,50 ns,1 B,,03,04,      ACK packet,D2,
0,HS,1481,2:56.622.117,1.866 us,64 B,K,03,02,Output Report,05 00 01 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,1482,2:56.622.117,1.866 us,64 B,,03,02,   OUT txn,05 00 01 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,1483,2:56.622.117,83 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,1484,2:56.622.118,1.150 us,67 B,,03,02,      DATA1 packet,4B 05 00 01 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 87 63,
2,HS,1485,2:56.622.119,33 ns,1 B,,03,02,      ACK packet,D2,
0,HS,1486,2:56.621.991,251.933 us,64 B,K,03,04,Input Report,05 01 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,1487,2:56.621.991,251.933 us,64 B,,03,04,   IN txn   [2 POLL],05 01 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,1488,2:56.621.991,125.400 us,,,03,04,      [2 IN-NAK],,
2,HS,1489,2:56.622.241,83 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,1490,2:56.622.242,1.133 us,67 B,,03,04,      DATA1 packet,4B 05 01 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3D A4,
2,HS,1491,2:56.622.243,50 ns,1 B,,03,04,      ACK packet,D2,
0,HS,1492,2:56.622.492,1.883 us,64 B,K,03,02,Output Report,08 00 1E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,1493,2:56.622.492,1.883 us,64 B,,03,02,   OUT txn,08 00 1E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,1494,2:56.622.492,83 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,1495,2:56.622.493,1.150 us,67 B,,03,02,      DATA0 packet,C3 08 00 1E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B7 C8,
2,HS,1496,2:56.622.494,50 ns,1 B,,03,02,      ACK packet,D2,
0,HS,1497,2:56.622.366,251.916 us,64 B,K,03,04,Input Report,08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,1498,2:56.622.366,251.916 us,64 B,,03,04,   IN txn   [2 POLL],08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,1499,2:56.622.366,125.416 us,,,03,04,      [2 IN-NAK],,
2,HS,1500,2:56.622.617,83 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,1501,2:56.622.617,1.150 us,67 B,,03,04,      DATA0 packet,C3 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BD D6,
2,HS,1502,2:56.622.618,50 ns,1 B,,03,04,      ACK packet,D2,
0,HS,1503,2:56.622.868,1.866 us,64 B,K,03,02,Output Report,04 00 64 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,1504,2:56.622.868,1.866 us,64 B,,03,02,   OUT txn,04 00 64 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,1505,2:56.622.868,66 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,1506,2:56.622.868,1.133 us,67 B,,03,02,      DATA1 packet,4B 04 00 64 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 9D F7,
2,HS,1507,2:56.622.869,33 ns,1 B,,03,02,      ACK packet,D2,
0,HS,1508,2:56.622.745,248.666 us,64 B,K,03,04,Input Report,04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,1509,2:56.622.745,248.666 us,64 B,,03,04,   IN txn   [2 POLL],04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,1510,2:56.622.745,122.166 us,,,03,04,      [2 IN-NAK],,
2,HS,1511,2:56.622.992,66 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,1512,2:56.622.992,1.133 us,67 B,,03,04,      DATA1 packet,4B 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BE D3,
2,HS,1513,2:56.622.993,33 ns,1 B,,03,04,      ACK packet,D2,
0,HS,1514,2:56.623.243,1.883 us,64 B,K,03,02,Output Report,05 00 01 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,1515,2:56.623.243,1.883 us,64 B,,03,02,   OUT txn,05 00 01 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,1516,2:56.623.243,66 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,1517,2:56.623.243,1.133 us,67 B,,03,02,      DATA0 packet,C3 05 00 01 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 87 63,
2,HS,1518,2:56.623.244,50 ns,1 B,,03,02,      ACK packet,D2,
0,HS,1519,2:56.623.117,251.916 us,64 B,K,03,04,Input Report,05 01 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,1520,2:56.623.117,251.916 us,64 B,,03,04,   IN txn   [2 POLL],05 01 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,1521,2:56.623.117,125.416 us,,,03,04,      [2 IN-NAK],,
2,HS,1522,2:56.623.367,66 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,1523,2:56.623.367,1.150 us,67 B,,03,04,      DATA0 packet,C3 05 01 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3D A4,
2,HS,1524,2:56.623.368,33 ns,1 B,,03,04,      ACK packet,D2,
0,HS,1525,2:56.623.618,1.866 us,64 B,K,03,02,Output Report,08 00 1E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,1526,2:56.623.618,1.866 us,64 B,,03,02,   OUT txn,08 00 1E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,1527,2:56.623.618,66 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,1528,2:56.623.618,1.133 us,67 B,,03,02,      DATA1 packet,4B 08 00 1E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B7 C8,
2,HS,1529,2:56.623.619,33 ns,1 B,,03,02,      ACK packet,D2,
0,HS,1530,2:56.623.492,251.900 us,64 B,K,03,04,Input Report,08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,1531,2:56.623.492,251.900 us,64 B,,03,04,   IN txn   [2 POLL],08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,1532,2:56.623.492,125.400 us,,,03,04,      [2 IN-NAK],,
2,HS,1533,2:56.623.742,66 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,1534,2:56.623.742,1.133 us,67 B,,03,04,      DATA1 packet,4B 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BD D6,
2,HS,1535,2:56.623.743,33 ns,1 B,,03,04,      ACK packet,D2,
0,HS,1536,2:56.623.993,1.866 us,64 B,K,03,02,Output Report,10 00 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,1537,2:56.623.993,1.866 us,64 B,,03,02,   OUT txn,10 00 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,1538,2:56.623.993,66 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,1539,2:56.623.993,1.133 us,67 B,,03,02,      DATA0 packet,C3 10 00 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C4 1C,
2,HS,1540,2:56.623.994,50 ns,1 B,,03,02,      ACK packet,D2,
0,HS,1541,2:56.623.867,251.916 us,64 B,K,03,04,Input Report,10 6D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,1542,2:56.623.867,251.916 us,64 B,,03,04,   IN txn   [2 POLL],10 6D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,1543,2:56.623.867,125.400 us,,,03,04,      [2 IN-NAK],,
2,HS,1544,2:56.624.117,66 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,1545,2:56.624.117,1.150 us,67 B,,03,04,      DATA0 packet,C3 10 6D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 97 07,
2,HS,1546,2:56.624.119,33 ns,1 B,,03,04,      ACK packet,D2,
0,HS,1547,2:56.624.368,1.866 us,64 B,K,03,02,Output Report,13 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,1548,2:56.624.368,1.866 us,64 B,,03,02,   OUT txn,13 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,1549,2:56.624.368,66 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,1550,2:56.624.368,1.133 us,67 B,,03,02,      DATA1 packet,4B 13 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FB 8D,
2,HS,1551,2:56.624.370,33 ns,1 B,,03,02,      ACK packet,D2,
0,HS,1552,2:56.624.242,251.916 us,64 B,K,03,04,Input Report,13 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,1553,2:56.624.242,251.916 us,64 B,,03,04,   IN txn   [2 POLL],13 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,1554,2:56.624.242,125.400 us,,,03,04,      [2 IN-NAK],,
2,HS,1555,2:56.624.492,83 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,1556,2:56.624.492,1.133 us,67 B,,03,04,      DATA1 packet,4B 13 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FB 8D,
2,HS,1557,2:56.624.494,33 ns,1 B,,03,04,      ACK packet,D2,
0,HS,1558,2:56.624.746,1.900 us,64 B,K,03,02,Output Report,12 33 FF FF FF FF FF FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,1559,2:56.624.746,1.900 us,64 B,,03,02,   OUT txn,12 33 FF FF FF FF FF FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,1560,2:56.624.746,83 ns,3 B,,03,02,      OUT packet,E1 03 79,
